_id,date,gender,race,agebook,agecurr
341,1/1/2018,M,B,35,35
342,1/1/2018,M,B,35,35
343,1/1/2018,M,W,23,23
344,1/1/2018,M,B,41,41
345,1/1/2018,M,B,45,45
346,1/1/2018,M,W,39,39
347,1/1/2018,M,W,22,22
348,1/1/2018,M,W,28,28
349,1/1/2018,M,W,32,32
350,1/1/2018,M,W,30,30
351,1/1/2018,M,B,20,20
352,1/1/2018,M,B,39,39
353,1/1/2018,M,B,55,55
354,1/1/2018,M,B,58,58
355,1/1/2018,M,W,38,38
356,1/1/2018,M,W,31,31
357,1/1/2018,M,B,52,52
358,1/1/2018,M,W,45,45
359,1/1/2018,M,B,28,28
360,1/1/2018,M,B,22,22
361,1/1/2018,M,B,42,42
362,1/1/2018,M,B,53,53
363,1/1/2018,M,W,50,50
364,1/1/2018,M,B,18,18
365,1/1/2018,M,B,36,36
366,1/1/2018,M,B,22,34
367,1/1/2018,M,B,32,34
368,1/1/2018,M,W,47,48
369,1/1/2018,M,B,23,24
370,1/1/2018,M,B,32,33
371,1/1/2018,M,B,17,18
372,1/1/2018,M,B,22,23
373,1/1/2018,M,W,62,63
374,1/1/2018,M,B,49,50
375,1/1/2018,M,B,41,42
376,1/1/2018,M,B,26,27
377,1/1/2018,M,W,40,40
378,1/1/2018,M,B,19,20
379,1/1/2018,M,W,36,36
380,1/1/2018,M,B,21,22
381,1/1/2018,M,B,22,22
382,1/1/2018,M,W,30,30
383,1/1/2018,M,W,62,63
384,1/1/2018,M,B,43,44
385,1/1/2018,M,W,35,36
386,1/1/2018,M,W,27,28
387,1/1/2018,M,W,29,29
388,1/1/2018,M,W,38,38
389,1/1/2018,M,B,22,23
390,1/1/2018,M,B,51,52
391,1/1/2018,M,W,56,57
392,1/1/2018,M,W,37,37
393,1/1/2018,M,B,24,25
394,1/1/2018,M,B,21,21
395,1/1/2018,M,B,49,49
396,1/1/2018,M,B,21,22
397,1/1/2018,M,W,35,35
398,1/1/2018,M,W,43,44
399,1/1/2018,M,W,30,30
400,1/1/2018,M,W,23,24
401,1/1/2018,M,W,37,37
402,1/1/2018,M,B,19,19
403,1/1/2018,M,W,17,18
404,1/1/2018,M,W,26,26
405,1/1/2018,M,B,58,58
406,1/1/2018,M,B,28,28
407,1/1/2018,M,W,58,58
408,1/1/2018,M,W,37,37
409,1/1/2018,M,W,19,19
410,1/1/2018,M,W,19,19
411,1/1/2018,M,B,26,27
412,1/1/2018,M,W,28,28
413,1/1/2018,M,B,36,36
414,1/1/2018,M,W,41,41
415,1/1/2018,M,x,34,35
416,1/1/2018,M,B,49,49
417,1/1/2018,M,B,51,51
418,1/1/2018,M,B,28,28
419,1/1/2018,M,B,23,23
420,1/1/2018,M,W,63,63
421,1/1/2018,M,B,24,24
422,1/1/2018,M,B,36,36
423,1/1/2018,M,B,19,19
424,1/1/2018,M,W,45,45
425,1/1/2018,M,W,53,53
426,1/1/2018,M,B,29,29
427,1/1/2018,M,B,21,21
428,1/1/2018,M,B,26,26
429,1/1/2018,M,B,33,33
430,1/1/2018,M,W,36,36
431,1/1/2018,M,B,24,26
432,1/1/2018,M,W,27,29
433,1/1/2018,M,W,37,38
434,1/1/2018,M,B,29,30
435,1/1/2018,M,W,39,40
436,1/1/2018,M,B,27,29
437,1/1/2018,M,W,35,36
438,1/1/2018,M,B,43,44
439,1/1/2018,M,W,27,28
440,1/1/2018,M,B,28,29
441,1/1/2018,M,W,39,40
442,1/1/2018,M,W,20,21
443,1/1/2018,M,B,19,20
444,1/1/2018,M,B,20,21
445,1/1/2018,M,W,25,25
446,1/1/2018,M,B,48,48
447,1/1/2018,M,B,36,36
448,1/1/2018,M,W,30,31
449,1/1/2018,M,B,26,26
450,1/1/2018,M,B,29,30
451,1/1/2018,M,B,46,47
452,1/1/2018,M,B,69,70
453,1/1/2018,M,B,20,20
454,1/1/2018,M,B,22,23
455,1/1/2018,M,B,20,20
456,1/1/2018,M,B,33,33
457,1/1/2018,M,B,20,21
458,1/1/2018,M,B,18,18
459,1/1/2018,M,B,29,29
460,1/1/2018,M,W,34,34
461,1/1/2018,M,B,26,26
462,1/1/2018,M,W,39,39
463,1/1/2018,M,B,31,31
464,1/1/2018,M,W,63,63
465,1/1/2018,M,B,21,21
466,1/1/2018,M,B,24,24
467,1/1/2018,M,W,25,25
468,1/1/2018,M,W,41,41
469,1/1/2018,M,W,51,51
470,1/1/2018,M,B,38,38
471,1/1/2018,M,W,26,26
472,1/1/2018,M,B,41,41
473,1/1/2018,M,W,33,33
474,1/1/2018,M,B,28,28
475,1/1/2018,M,W,22,22
476,1/1/2018,M,B,63,64
477,1/1/2018,M,B,19,20
478,1/1/2018,M,B,52,52
479,1/1/2018,M,W,36,36
480,1/1/2018,M,B,46,46
481,1/1/2018,M,W,57,58
482,1/1/2018,M,W,40,40
483,1/1/2018,M,W,28,29
484,1/1/2018,M,B,45,46
485,1/1/2018,M,B,54,54
486,1/1/2018,M,B,32,33
487,1/1/2018,M,W,51,51
488,1/1/2018,M,W,37,37
489,1/1/2018,M,W,38,38
490,1/1/2018,M,W,31,32
491,1/1/2018,M,W,29,29
492,1/1/2018,M,B,29,29
493,1/1/2018,M,W,23,23
494,1/1/2018,M,W,30,30
495,1/1/2018,M,W,34,34
496,1/1/2018,M,W,33,34
497,1/1/2018,M,W,35,35
498,1/1/2018,M,B,36,36
499,1/1/2018,M,W,22,22
500,1/1/2018,M,W,25,25
501,1/1/2018,M,B,20,20
502,1/1/2018,M,B,47,47
503,1/1/2018,M,B,48,48
504,1/1/2018,M,B,20,20
505,1/1/2018,M,B,28,28
506,1/1/2018,M,W,21,21
507,1/1/2018,M,W,36,36
508,1/1/2018,M,B,18,18
509,1/1/2018,M,W,29,29
510,1/1/2018,M,B,35,35
511,1/1/2018,M,B,54,54
512,1/1/2018,M,B,22,22
513,1/1/2018,M,W,18,18
514,1/1/2018,M,B,28,28
515,1/1/2018,M,B,26,26
516,1/1/2018,M,B,31,31
517,1/1/2018,M,W,29,29
518,1/1/2018,M,B,22,22
519,1/1/2018,M,W,40,40
520,1/1/2018,M,W,64,64
521,1/1/2018,M,B,31,31
522,1/1/2018,M,B,55,55
523,1/1/2018,M,B,22,22
524,1/1/2018,M,B,20,20
525,1/1/2018,M,B,59,59
526,1/1/2018,M,B,34,34
527,1/1/2018,M,W,57,57
528,1/1/2018,M,W,59,66
529,1/1/2018,M,B,40,41
530,1/1/2018,M,B,19,21
531,1/1/2018,M,W,23,25
532,1/1/2018,M,B,24,25
533,1/1/2018,M,B,24,25
534,1/1/2018,M,B,32,33
535,1/1/2018,M,B,52,53
536,1/1/2018,M,B,62,63
537,1/1/2018,M,W,30,31
538,1/1/2018,M,W,47,48
539,1/1/2018,M,B,23,23
540,1/1/2018,M,W,36,37
541,1/1/2018,M,W,24,24
542,1/1/2018,M,W,31,32
543,1/1/2018,M,W,38,38
544,1/1/2018,M,x,25,25
545,1/1/2018,M,B,19,20
546,1/1/2018,M,B,20,21
547,1/1/2018,M,B,30,31
548,1/1/2018,M,W,37,38
549,1/1/2018,M,B,18,19
550,1/1/2018,M,W,32,33
551,1/1/2018,M,W,24,24
552,1/1/2018,M,B,46,47
553,1/1/2018,M,B,31,32
554,1/1/2018,M,W,23,24
555,1/1/2018,M,W,33,33
556,1/1/2018,M,B,19,19
557,1/1/2018,M,W,31,31
558,1/1/2018,M,B,28,28
559,1/1/2018,M,B,20,21
560,1/1/2018,M,W,42,43
561,1/1/2018,M,B,27,28
562,1/1/2018,M,B,19,20
563,1/1/2018,M,B,45,45
564,1/1/2018,M,W,30,30
565,1/1/2018,M,B,32,33
566,1/1/2018,M,x,26,27
567,1/1/2018,M,W,33,33
568,1/1/2018,M,B,57,58
569,1/1/2018,M,W,48,49
570,1/1/2018,M,B,20,20
571,1/1/2018,M,B,19,19
572,1/1/2018,M,B,51,52
573,1/1/2018,M,W,27,27
574,1/1/2018,M,W,55,55
575,1/1/2018,M,B,26,26
576,1/1/2018,M,B,24,24
577,1/1/2018,M,W,40,40
578,1/1/2018,M,B,20,20
579,1/1/2018,M,W,57,57
580,1/1/2018,M,B,25,25
581,1/1/2018,M,B,36,36
582,1/1/2018,M,W,53,53
583,1/1/2018,M,B,30,30
584,1/1/2018,M,W,31,31
585,1/1/2018,M,B,63,63
586,1/1/2018,M,B,25,26
587,1/1/2018,M,B,28,28
588,1/1/2018,M,W,45,45
589,1/1/2018,M,B,25,25
590,1/1/2018,M,B,56,56
591,1/1/2018,M,B,30,30
592,1/1/2018,M,W,69,69
593,1/1/2018,M,B,24,24
594,1/1/2018,M,W,43,43
595,1/1/2018,M,B,60,60
596,1/1/2018,M,W,39,39
597,1/1/2018,M,W,42,42
598,1/1/2018,M,W,32,32
599,1/1/2018,M,W,34,34
600,1/1/2018,M,W,44,44
601,1/1/2018,M,B,52,52
602,1/1/2018,M,B,56,56
603,1/1/2018,M,W,29,29
604,1/1/2018,M,B,36,36
605,1/1/2018,M,U,29,29
606,1/1/2018,M,W,31,31
607,1/1/2018,M,W,37,37
608,1/1/2018,M,W,43,43
609,1/1/2018,M,B,27,27
610,1/1/2018,M,B,48,48
611,1/1/2018,M,W,31,31
612,1/1/2018,M,B,26,26
613,1/1/2018,M,W,41,41
614,1/1/2018,M,B,20,20
615,1/1/2018,M,B,25,25
616,1/1/2018,M,B,27,27
617,1/1/2018,M,B,26,26
618,1/1/2018,M,W,58,58
619,1/1/2018,M,W,49,49
620,1/1/2018,M,W,30,30
621,1/1/2018,M,B,25,25
622,1/1/2018,M,B,25,25
623,1/1/2018,M,B,40,40
624,1/1/2018,M,B,22,22
625,1/1/2018,M,B,30,33
626,1/1/2018,M,B,31,33
627,1/1/2018,M,B,32,34
628,1/1/2018,M,B,22,24
629,1/1/2018,M,B,19,21
630,1/1/2018,M,B,28,29
631,1/1/2018,M,B,40,41
632,1/1/2018,M,B,28,29
633,1/1/2018,M,B,19,20
634,1/1/2018,M,W,32,33
635,1/1/2018,M,B,54,55
